0_B	34504.468	307.942
0_G	43654.917	301.032
0_R	43334.748	270.268
10_B	34342.530	163.749
10_G	42931.978	209.842
10_R	42027.170	184.916
30_B	33802.221	139.463
30_G	41125.889	130.691
30_R	39357.073	82.504
60_B	32670.744	147.422
60_G	38588.051	110.825
60_R	35865.453	133.076
100_B	31987.824	145.708
100_G	36202.352	117.098
100_R	33033.115	102.545
150_B	30915.669	141.846
150_G	33575.573	92.376
150_R	29775.041	109.546
200_B	30216.758	157.284
200_G	31363.407	127.606
200_R	27569.120	115.562
300_B	28465.277	146.980
300_G	27883.614	108.215
300_R	24136.839	114.197
500_B	25733.479	138.274
500_G	22953.955	113.441
500_R	19666.036	97.979
1000_B	21397.012	148.077
1000_G	16481.335	117.319
1000_R	14351.457	118.405
1500_B	18422.933	120.583
1500_G	12824.734	91.145
1500_R	11482.576	91.372
2000_B	16401.872	101.940
2000_G	10592.415	83.537
2000_R	9815.318	78.811
2400_B	15076.713	125.499
2400_G	9274.532	54.927
2400_R	8811.958	79.556
2700_B	14316.145	97.081
2700_G	8532.442	73.647
2700_R	8248.831	69.563
3000_B	13678.318	101.648
3000_G	7928.038	67.730
3000_R	7845.627	65.103
