x,y
5000.0,30.0
9747.604747604746,26.439296439296438
14495.209495209494,22.87859287859288
19242.814242814242,19.31788931788932
23990.418990418988,15.757185757185756
28738.023738023734,12.196482196482199
33485.628485628484,8.635778635778639
38233.23323323323,5.075075075075077
38233.23323323323,5.075075075075077
39361.02769436102,4.229229229229232
40488.82215548882,3.383383383383384
41616.616616616615,2.5375375375375384
42744.41107774441,1.6916916916916935
43872.20553887221,0.8458458458458451
45000.0,0.0
