x,y
5000.0,30.0
10371.08537108537,29.927368093035142
15742.170742170742,29.418944744281113
21113.256113256113,28.038938511948754
26484.341484341483,25.351557954248896
31855.426855426853,20.92101162939238
37226.512226512226,14.311508095590025
42597.597597597596,5.087255911052688
42597.597597597596,5.087255911052688
42997.997997998,4.282815101140934
43398.3983983984,3.4612409425661106
43798.7987987988,2.622352894246399
44199.199199199196,1.7659704151000355
44599.5995995996,0.8919129640451551
45000.0,0.0
