x,y
5000.0,30.0
10210.925210925212,29.490867345865198
15421.850421850422,27.963469383460804
20632.775632775632,25.417806112786806
25843.700843700844,21.853877533843214
31054.626054626056,17.271683646630024
36265.551265551265,11.671224451147232
41476.47647647648,5.052499947394843
41476.47647647648,5.052499947394843
42063.73039706373,4.242747919758266
42650.98431765098,3.4200633733499943
43238.238238238235,2.5844463081700395
43825.492158825495,1.735896724218372
44412.74607941275,0.8744146214950343
45000.0,0.0
