x,y
5000.0,30.0
9747.604747604746,25.291833173375203
14495.209495209494,21.064298134025922
19242.814242814242,15.799621218601782
23990.418990418988,15.840347184597091
28738.023738023734,10.288033230815673
33485.628485628484,9.40010224769854
38233.23323323323,4.773720931945196
38233.23323323323,4.378035859404643
39361.02769436102,3.2035414141052705
40488.82215548882,4.068500390245036
41616.616616616615,1.761873252012391
42744.41107774441,1.537286431861885
43872.20553887221,0.0
45000.0,1.7674760153561164
